"Año";"Trimestre";"Mes";"Ap. Dep. de Contrap. Convencionales";"Ap. Dep. de Contrap. en Directo";"Ap. Hípicas de Contrapartida";"Otras Ap. de Contrapartida";"Ap. Deportivas Mutuas";"Apuestas Hípicas Mutuas";"Ap. Cruzadas";"Concursos";"Póquer Cash";"Póquer Torneo";"Black Jack";"Juegos Complementarios";"Punto y Banca";"Ruleta Convencional";"Ruleta en Vivo";"Máquinas de Azar";"Bingo";"Total"
2013;"2013.T1";"Enero";9846318;0;93668;0;25;0;0;1012354;4348393;2215327;812724;5318;6866;2014241;0;0;611491;20966726
2013;"2013.T1";"Febrero";10317605;0;66877;0;9694;0;0;623394;3840514;1943549;834214;2800;3141;2103313;0;0;532667;20277770
2013;"2013.T1";"Marzo";10557605;0;63300;0;36412;0;0;569655;3999514;2069424;786502;1899;2530;2238832;0;0;595101;20920774
2013;"2013.T2";"Abril";10109343;0;175759;63;15553;0;0;631209;3723006;1796117;831032;1143;1499;2128256;0;0;550734;19963713
2013;"2013.T2";"Mayo";9988459;0;148618;2701;21695;0;0;502581;3791287;1941025;783706;2333;2345;2011375;10;0;651859;19847994
2013;"2013.T2";"Junio";6767380;0;106324;131;17814;0;0;364150;3558941;1583200;786673;1373;2173;1915774;14;0;597430;15701376
2013;"2013.T3";"Julio";7570896;0;84305;0;18259;0;0;424177;3556940;1572373;848717;491;4131;1920003;1904;0;574299;16576496
2013;"2013.T3";"Agosto";8929391;0;206538;0;9302;0;0;423775;3568222;1682476;691281;721;2136;1859758;4397;0;606849;17984845
2013;"2013.T3";"Septiembre";7809682;0;60191;-1;14903;0;0;424681;3594207;1782466;791581;1069;2404;1843720;9036;0;642444;16976384
2013;"2013.T4";"Octubre";9452693;0;177953;2;32373;0;0;294434;3816941;1875847;925510;1965;4792;2103743;11118;0;705111;19402482
2013;"2013.T4";"Noviembre";10224330;0;161415;0;25206;0;0;499627;3686412;1959252;716748;1645;3185;1835582;34684;0;677530;19825617
2013;"2013.T4";"Diciembre";9368414;0;72568;-134;14184;0;0;1287709;3834081;2031885;777688;1050;2456;2036935;28682;0;740892;20196410
2014;"2014.T1";"Enero";12279502;0;114000;370;17979;0;0;736304;4101748;2253917;768920;474;4783;2240154;3784;0;755319;23277255
2014;"2014.T1";"Febrero";10423344;0;161710;441;19640;0;0;493880;3714894;2020918;757263;1316;6877;2065243;14885;0;695795;20376206
2014;"2014.T1";"Marzo";14237163;0;99379;289;21713;0;0;428208;3689854;1914191;918711;692;3490;2028591;22918;0;626199;23991398
2014;"2014.T2";"Abril";6366533;0;146017;0;6359;0;0;222995;3273908;1790679;820795;1146;4093;2106952;23406;0;633897;15396779
2014;"2014.T2";"Mayo";11174704;0;237045;326;4309;0;0;368172;3557899;1816144;845591;1059;4072;2224452;20186;0;652183;20906143
2014;"2014.T2";"Junio";13468439;0;66112;0;6999;0;0;129789;3328688;1645806;890268;1038;2160;2156352;48924;0;603456;22348031
2014;"2014.T3";"Julio";8476248;0;251408;145;-10369;0;0;178465;3197765;2523576;810240;730;7501;2129997;29354;0;687217;18282278
2014;"2014.T3";"Agosto";11208815;0;211550;-804;6600;0;0;126717;3091620;2755160;708964;1859;4964;1753558;18382;0;673647;20561033
2014;"2014.T3";"Septiembre";12918236;0;153633;1616;11585;0;0;164729;3031366;2633421;838779;1313;5514;2129988;50112;0;677327;22617618
2014;"2014.T4";"Octubre";10382203;0;115169;2604;10545;0;0;248864;3128755;2597349;1144289;1379;6024;2239532;45234;0;678717;20600665
2014;"2014.T4";"Noviembre";10807125;0;168148;2626;6761;0;0;438016;2857034;2641891;1442185;829;10212;2501880;51871;0;661469;21590049
2014;"2014.T4";"Diciembre";12023146;0;292370;3474;4158;0;0;842076;3101515;2304446;1029556;748;2987;2504259;78073;0;699337;22886144
2015;"2015.T1";"Enero";13127927;0;361893;4824;6026;0;0;267536;3174109;2998148;963701;333;4698;1776701;900733;0;732650;24319278
2015;"2015.T1";"Febrero";15582476;0;201310;25602;-13554;0;0;283261;2751746;2435492;1178763;864;5572;2025777;933168;0;600640;26011117
2015;"2015.T1";"Marzo";15569791;0;109638;18564;-2419;0;0;313040;2811742;2640371;1643952;861;5509;1970649;839973;0;681951;26603622
2015;"2015.T2";"Abril";916159;8413602;287799;37169;-16715;0;0;324711;2626914;2473320;1486522;737;6492;2004462;1024647;0;638776;20224594
2015;"2015.T2";"Mayo";2952543;5751888;244950;28165;-2991;0;0;254207;2430914;2301912;1417331;307;5938;2247396;964900;412;630986;19228858
2015;"2015.T2";"Junio";2858326;9093573;397678;43618;-1784;0;0;226527;2232397;2316145;1277507;259;-3146;2006688;1011566;1207410;577520;23244284
2015;"2015.T3";"Julio";3250935;7122507;248726;47618;-3117;0;0;60600;2278092;2402902;1195182;365;10548;1880186;977311;1806323;625871;21904049
2015;"2015.T3";"Agosto";9098597;9695114;263322;25526;816;0;1138;200005;2433863;2463901;1232483;248;1438;1867054;717309;1640303;562350;30203468
2015;"2015.T3";"Septiembre";10137123;8334808;564065;51476;4216;0;14220;182957;2356131;2482198;1260061;-5;1399;1888002;1110126;2419260;604773;31410810
2015;"2015.T4";"Octubre";6391762;10059455;813502;102358;2682;0;32922;431268;2520580;2597413;1253793;697;3138;1895250;1292196;2501079;683851;30581945
2015;"2015.T4";"Noviembre";3855783;9010169;548012;187655;4157;0;37233;444383;2304514;2681243;1217258;746;2256;1979538;1357128;2582192;645054;26857321
2015;"2015.T4";"Diciembre";11737450;9180314;494436;212183;4468;0;31840;1199544;2451301;2003431;1355021;335;4581;2128891;1589046;3388929;746932;36528703
2016;"2016.T1";"Enero";8200521;10310891;436368;249687;1397;0;42261;496463;2630060;2424550;1375238;545;5218;1930962;1751056;2959717;753571;33568507
2016;"2016.T1";"Febrero";6284990;11483629;339850;231432;900;0;43817;677195;2402062;2486450;1253155;326;2601;1882869;1594669;2912526;749780;32346251
2016;"2016.T1";"Marzo";8564726;11252090;237192;350655;3186;0;38876;454937;2328315;2518199;1403045;457;2347;2103793;2258536;3673336;709391;35899083
2016;"2016.T2";"Abril";5204045;7736362;560479;352283;698;0;52629;548778;2152627;2507537;1468496;291;1361;2056572;2032462;3815171;752323;29242115
2016;"2016.T2";"Mayo";5893856;9904420;519957;258491;178;0;45672;289712;2299884;2586195;1562677;607;3284;2235716;1834883;4174792;726292;32336616
2016;"2016.T2";"Junio";12859312;8533047;439122;332027;1;0;36996;534125;2019865;2184650;1454835;492;2291;1848532;1870759;3721104;698694;36535853
2016;"2016.T3";"Julio";6681399;9029577;394149;240653;967;0;29949;657864;2062384;2375005;1380855;179;710;1776752;1796692;4655809;713604;31796547
2016;"2016.T3";"Agosto";8377953;9468898;457193;-155002;-169;0;43377;643093;2158884;2466444;1117073;340;3085;1981142;1433084;4534597;682851;33212842
2016;"2016.T3";"Septiembre";10288251;10717115;401390;241942;3643;0;46424;391919;2158738;2569661;1479496;459;1739;2122585;1548991;4610527;786465;37369343
2016;"2016.T4";"Octubre";9925531;13668331;87080;281575;2975;0;53700;545167;2263086;2697115;1732429;252;1360;1835644;2045135;5271378;804881;41215640
2016;"2016.T4";"Noviembre";11682553;13542836;182646;175291;-849;0;53402;462986;2182455;2810524;1981637;56;204;1839066;2258538;5156546;812593;43140485
2016;"2016.T4";"Diciembre";8575592;10400444;177144;313053;1092;0;43148;1200749;2276304;3003014;1875131;337;1390;2346326;2073994;6323347;881575;39492640
2017;"2017.T1";"Enero";14580533;16727789;493161;357690;1608;0;46184;283190;2382127;3006905;1888747;165;653;2040536;2787572;5683897;925909;51206664
2017;"2017.T1";"Febrero";6255737;10815519;403320;229264;1836;0;46085;362161;1940121;2812165;1602825;130;829;2080393;2080450;5735269;876028;35242133
2017;"2017.T1";"Marzo";4371606;15497192;468241;316645;1390;0;49812;367085;2142269;2877838;1944944;43;1108;2412990;3064019;6131070;891552;40537805
2017;"2017.T2";"Abril";7874855;13510367;432595;293042;1559;0;49618;267821;1851849;3182177;1783942;23;1175;2365496;2895166;7267898;945493;42723075
2017;"2017.T2";"Mayo";7618536;15415945;304436;411651;1051;0;43328;265261;1924651;2835720;1467542;47;492;2119947;2836350;6635814;964112;42844883
2017;"2017.T2";"Junio";2501191;10454632;455183;309058;795;0;48982;507193;1837966;2797642;1530961;0;-351;2177416;2993692;7222525;895226;33732112
2017;"2017.T3";"Julio";7521208;11983046;707295;245299;872;0;34349;938219;1910844;2929956;1519384;0;474;2329456;3061734;7761650;936270;41880057
2017;"2017.T3";"Agosto";11078732;14181435;647452;298540;807;0;48966;568990;1887406;2945866;1903379;0;244;2164158;2919687;7825334;987564;47458560
2017;"2017.T3";"Septiembre";10991003;18159768;462000;242370;1104;0;34833;617560;2121902;2868611;2149811;0;1419;2323793;3109282;6647092;900858;50631405
2017;"2017.T4";"Octubre";16777525;18101399;325405;339187;676;0;37666;248672;2029651;3000631;2064206;0;307;2553859;3144636;7620818;968274;57212912
2017;"2017.T4";"Noviembre";12867030;15535661;478785;136311;920;0;32942;355394;2042874;3043766;1982576;0;2540;2345846;2947692;8135545;992675;50900558
2017;"2017.T4";"Diciembre";19331085;17254932;566820;253528;966;0;30115;994111;2227550;3095208;2131666;0;1897;2656855;3466638;9795091;1171539;62978001
2018;"2018.T1";"Enero";15835469;17085335;411747;322293;1464;0;29809;73352;2685487;3758434;2158255;0;160;2601112;4039819;9457324;1249640;59709701
2018;"2018.T1";"Febrero";8169867;14353313;486500;284169;261;0;39348;71189;2726791;4586925;2011324;0;-148;2638707;3827453;8570104;962363;48728164
2018;"2018.T1";"Marzo";3814137;18108139;385918;197908;-575;0;36346;55883;2994478;4720176;2399582;0;186;3200108;3823570;10941576;1305071;51982504
2018;"2018.T2";"Abril";11307288;17321111;515136;252148;1022;0;35560;63320;2361386;4247677;2491961;0;727;2752427;3605009;9215957;1093796;55264527
2018;"2018.T2";"Mayo";4525481;14220052;386098;326109;482;0;33132;45457;2340629;4197147;2180952;0;1119;2693000;3285969;10021341;1118710;45375679
2018;"2018.T2";"Junio";21950873;16024568;400415;279560;1109;0;27661;234638;2178318;4123091;2304137;0;-449;2952761;3655874;11316950;1066742;66516246
