"Año";"Trimestre";"Mes";"Ap. Dep. de Contrap. Convencionales";"Ap. Dep. de Contrap. en Directo";"Ap. Hípicas de Contrapartida";"Otras Ap. de Contrapartida";"Ap. Deportivas Mutuas";"Apuestas Hípicas Mutuas";"Ap. Cruzadas";"Concursos";"Póquer Cash";"Póquer Torneo";"Black Jack";"Juegos Complementarios";"Punto y Banca";"Ruleta Convencional";"Ruleta en Vivo";"Máquinas de Azar";"Bingo";"Total"
2013;"2013.T1";"Enero";162047262;0;1283698;0;25;0;0;1441042;168951627;45284781;31834559;31836;234997;74439443;0;0;5233357;490782627
2013;"2013.T1";"Febrero";157694814;0;1021289;599;13739;0;0;946386;149377971;39699626;28028922;23377;142746;74558727;0;0;4522912;456031107
2013;"2013.T1";"Marzo";172671200;0;1542232;154;62887;0;0;856381;156030065;41243059;32602485;21714;112883;88638883;0;0;4582470;498364413
2013;"2013.T2";"Abril";159740095;0;1567041;5970;57470;0;0;922443;146001504;40079724;30258652;14914;81295;79406499;0;0;4222029;462357635
2013;"2013.T2";"Mayo";154806640;0;1864772;388;47501;0;0;775753;142803930;41107194;30230645;19336;83962;82606925;77;0;4821443;459168566
2013;"2013.T2";"Junio";152493062;0;2173177;454;40474;0;0;600224;132604377;36911221;32714737;6597;143180;67751377;70;0;4725906;430164856
2013;"2013.T3";"Julio";126943251;0;2029753;0;22772;0;0;578695;138928385;36012485;34064385;6638;156137;72901133;57384;0;4703034;416404051
2013;"2013.T3";"Agosto";164302106;0;2104109;0;30244;0;0;537433;136482444;36178884;27280304;16120;73450;66820228;465537;0;4705381;438996239
2013;"2013.T3";"Septiembre";183000088;0;1738763;2;35733;0;0;561300;140924981;40621820;26787614;10513;113874;68697977;456975;0;5187722;468137361
2013;"2013.T4";"Octubre";196785593;0;2250930;15;54780;0;0;658556;146035913;40847086;31061984;17141;146482;76455457;937918;0;6310061;501561917
2013;"2013.T4";"Noviembre";177819239;0;1800667;0;52868;0;0;621262;142433300;42548045;24396220;17687;119759;75342043;995881;0;5498814;471645784
