VIDEOJUEGO,PC,PS4,PS5,SWITCH,XBOne,XSX,ANDROID,DESCRIPCION,ENTORNO,FECHAESTRENO,GENERO,IPHONE,MODOPARTIDA,MULTIJUGADOR,PLATAFORMA,ROL
Ys IX: Monstrum Nox,PC,PS4,,Switch,,,,,,Fecha de lanzamiento: 5/2/2021,,,,,PS4,
Yo-kai Watch 4,,,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,,,Switch,
Yakuza: Like a Dragon,PC,PS4,PS5,,XBOne,,,,,Fecha de lanzamiento: 13/11/2020,,,,,PS4,
World of Diving,PC,,,,,,,,,Fecha de lanzamiento: AÃ±o 2020,,,,,PC,
Wild,,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Werewolf: The Apocalypse - Earthblood,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: 4/2/2021,,,,,PS4,
Watch Dogs Legion,PC,PS4,PS5,,XBOne,XSX,,Brexit,,Fecha de lanzamiento: 29/10/2020,,,,,PS4,
Visage,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Vampire: The Masquerade - Bloodlines 2,PC,PS4,,,XBOne,XSX,,,,Fecha de lanzamiento: Año 2021,,,,Vampire: The Masquerade - Bloodlines 2,PC,
Twin Mirror,PC,PS4,,,XBOne,,,thriller,,Fecha de lanzamiento: 1/12/2020,,,,,PS4,
Tunic,PC,,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
The Universim,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,God Game,,,,PC,
The Medium,PC,,,,,XSX,,,,Fecha de lanzamiento: Año 2020,,,,,XSX,
The Legend of Zelda: Breath of the Wild 2,,,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,,,Switch,
The Legend of Heroes: Trails of Cold Steel IV,PC,PS4,,,,,,,,Fecha de lanzamiento: 27/10/2020,,,,,PS4,
The Last Night,PC,,,,XBOne,,,grandes distritos,,Fecha de lanzamiento: Año 2020,ciberpunk,,,,XBOne,
The Elder Scrolls VI,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Temtem,PC,,PS5,Switch,,,,,,Fecha de lanzamiento: Año 2020,temtem,,,,PC,
Tales of Arise,PC,PS4,,,XBOne,,,salto técnico,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Tale of Ronin,PC,PS4,,Switch,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
System Shock 3,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Starfield,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Star Citizen,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
STALKER 2,PC,,,,,XSX,,,,Fecha de lanzamiento: Año 2021,,,,,PC,
Spider-Man: Miles Morales,,,PS5,,,,,,,Fecha de lanzamiento: 19/11/2020,,,,,PS5,
Sneak Thief,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Skull & Bones,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Shin Megami Tensei V,,,,Switch,,,,,,Fecha de lanzamiento: Año 2021,,,,,Switch,
Scrap Mechanic,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PC,
Scorn,PC,,,,,XSX,,Alien,entornos dinámicos,Fecha de lanzamiento: Año 2020,,,,,PC,
Scarlet Nexus,PC,PS4,PS5,,XBOne,XSX,,,,Fecha de lanzamiento: Año 2020,,,,,XBOne,
Resident Evil 8: Village,PC,,PS5,,,XSX,,,,Fecha de lanzamiento: Año 2021,,,,,PS5,
Ratchet & Clank: Rift Apart,,,PS5,,,,,una historia de humor y ciencia ficción,,Fecha de lanzamiento: Año 2020,,,,,PS5,
Quake Champions,PC,,,,,,,online,,Fecha de lanzamiento: Año 2020,,,,,PC,
Psychonauts 2,PC,PS4,,,XBOne,XSX,,,,Fecha de lanzamiento: Año 2021,,,,,PS4,
Project Re Fantasy,,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Project Eve,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Project Awakening,,PS4,,,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Project Athia,PC,,PS5,,,,,,,Fecha de lanzamiento: Año 2021,,,,,PS5,
Praey for the Gods,PC,PS4,,,XBOne,,,Kickstarter,,Fecha de lanzamiento: Año 2020,,,,Praey of the Gods,PS4,
Persona 5 Scramble: The Phantom Strikers,,PS4,,Switch,,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Paint the Town Red,PC,,,,,,,,,Fecha de lanzamiento: Año 2020,,,,vóxeles,PC,
Osiris: New Dawn,PC,PS4,,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
Oddworld: Soulstorm,PC,PS4,PS5,,XBOne,,,,,Fecha de lanzamiento: Año 2020,,,,,PS4,
